"product_id","collection","slug","title","colors","gallery_count","url"
"352722510","NUVEM","sao-miguel-celeste","São Miguel Celeste | Blusão Moletom","Branca","2","https://loja.nimbuswear.com.br/produtos/sao-miguel-celeste/"
"352723243","NUVEM","sao-miguel-celeste3","São Miguel Celeste | Camiseta Premium","Branca","2","https://loja.nimbuswear.com.br/produtos/sao-miguel-celeste3/"
"352722685","NUVEM","sao-miguel-celeste1","São Miguel Celeste | Moletom Canguru","Branca","2","https://loja.nimbuswear.com.br/produtos/sao-miguel-celeste1/"
"352720257","RELIQUIA","acima-de-tudo-gotico","Acima de Tudo Gótico | Camiseta Oversized Premium","Preta|Off-White","2","https://loja.nimbuswear.com.br/produtos/acima-de-tudo-gotico/"
"352719728","RELIQUIA","aparecida-barroca","Aparecida Barroca | Blusão Moletom","Branca","2","https://loja.nimbuswear.com.br/produtos/aparecida-barroca/"
"352890896","RELIQUIA","aparecida-barroca2","Aparecida Barroca | Camiseta Oversized Premium","Preta|Off-White","4","https://loja.nimbuswear.com.br/produtos/aparecida-barroca2/"
"352720127","RELIQUIA","aparecida-barroca3","Aparecida Barroca | Camiseta Premium","Branca","2","https://loja.nimbuswear.com.br/produtos/aparecida-barroca3/"
"352719816","RELIQUIA","aparecida-barroca1","Aparecida Barroca | Moletom Canguru","Branca","2","https://loja.nimbuswear.com.br/produtos/aparecida-barroca1/"
"352717960","RELIQUIA","azulejo","Azulejo Sagrado | Blusão Moletom","Branca","2","https://loja.nimbuswear.com.br/produtos/azulejo/"
"352718275","RELIQUIA","azulejo3","Azulejo Sagrado | Camiseta Premium","Branca","2","https://loja.nimbuswear.com.br/produtos/azulejo3/"
"352718083","RELIQUIA","azulejo1","Azulejo Sagrado | Moletom Canguru","Branca","2","https://loja.nimbuswear.com.br/produtos/azulejo1/"
"352717723","RELIQUIA","brasao","Brasão NIMBUS | Camiseta Oversized Premium","Preta|Off-White","4","https://loja.nimbuswear.com.br/produtos/brasao/"
"352717837","RELIQUIA","brasao1","Brasão NIMBUS | Camiseta Premium","Preta|Branca","4","https://loja.nimbuswear.com.br/produtos/brasao1/"
"352703276","RELIQUIA","deus-e-fiel","Deus é Fiel | Camiseta Oversized Premium","Preta","2","https://loja.nimbuswear.com.br/produtos/deus-e-fiel/"
"352703343","RELIQUIA","deus-e-fiel1","Deus é Fiel | Camiseta Premium","Preta","2","https://loja.nimbuswear.com.br/produtos/deus-e-fiel1/"
"352702858","RELIQUIA","fe-acima-de-tudo","Fé Acima de Tudo | Camiseta Oversized Premium","Preta|Off-White","4","https://loja.nimbuswear.com.br/produtos/fe-acima-de-tudo/"
