title,produto_base,frente_largura_cm,frente_altura_cm,costas_largura_cm,costas_altura_cm,lido_em
São Miguel Vintage | Moletom Canguru,Moletom Canguru com Capuz,8.9,9.2,31.5,40,2026-07-23
São Miguel Vintage | Camiseta Oversized Premium,Camiseta Oversized Premium,9.2,9.5,31.6,40,2026-07-23
Monograma NIMBUS | Camiseta Premium,Camiseta Premium Unissex,28.5,29.4,0,0,2026-07-23
Monograma NIMBUS | Camiseta Oversized Premium,Camiseta Oversized Premium,29.3,30.1,0,0,2026-07-23
São Miguel Vintage | Camiseta Premium,Camiseta Premium Unissex,8.8,9.1,31.5,40,2026-07-23
São Jorge Vintage | Blusão Moletom,Blusão Moletom,9,9.3,30.6,40,2026-07-23
São Jorge Vintage | Moletom Canguru,Moletom Canguru com Capuz,8.7,9,30.6,40,2026-07-23
São Jorge Vintage | Camiseta Oversized Premium,Camiseta Oversized Premium,9.1,9.3,30.6,40,2026-07-23
São Jorge Vintage | Camiseta Premium,Camiseta Premium Unissex,8.6,8.9,30.6,40,2026-07-23
Salmo 19 | Moletom Canguru,Moletom Canguru com Capuz,8.7,9,35.2,28.8,2026-07-23
Salmo 19 | Camiseta Premium,Camiseta Premium Unissex,8.9,9.2,35.2,28.8,2026-07-23
Fé Acima de Tudo | Camiseta Oversized Premium,Camiseta Oversized Premium,8.9,9.1,35.1,24.6,2026-07-23
Fé Acima de Tudo | Camiseta Premium,Camiseta Premium Unissex,8.5,8.8,35.2,24.6,2026-07-23
Deus é Fiel | Camiseta Oversized Premium,Camiseta Oversized Premium,9.1,9.4,35.1,33,2026-07-23
Deus é Fiel | Camiseta Premium,Camiseta Premium Unissex,8.7,9,35.2,32.9,2026-07-23
Brasão NIMBUS | Camiseta Oversized Premium,Camiseta Oversized Premium,9.1,9.4,29.6,40,2026-07-23
Brasão NIMBUS | Camiseta Premium,Camiseta Premium Unissex,8.8,9.1,29.6,40,2026-07-23
Azulejo Sagrado | Blusão Moletom,Blusão Moletom,9.1,9.4,35,35,2026-07-23
Azulejo Sagrado | Moletom Canguru,Moletom Canguru com Capuz,8.8,9.1,35.2,35,2026-07-23
Azulejo Sagrado | Camiseta Premium,Camiseta Premium Unissex,8.5,8.8,35.2,35,2026-07-23
Fé Wildstyle | Camiseta Oversized Premium,Camiseta Oversized Premium,9,14.5,33.7,40,2026-07-23
Fé Wildstyle | Camiseta Premium,Camiseta Premium Unissex,8.5,13.7,33.8,40,2026-07-23
NIMBUS Wildstyle | Camiseta Oversized Premium,Camiseta Oversized Premium,9.1,14.6,35.1,37.5,2026-07-23
NIMBUS Wildstyle | Ecobag,Ecobag,24,25.7,0,0,2026-07-23
Espírito Santo Spray | Camiseta Premium,Camiseta Premium Unissex,8.4,12.1,35.2,35.1,2026-07-23
Sagrado Coração Spray | Camiseta Premium,Camiseta Premium Unissex,8.7,12.5,24.9,40,2026-07-23
São Miguel Celeste | Blusão Moletom,Blusão Moletom,10.3,9.4,35,39.7,2026-07-23
São Miguel Celeste | Moletom Canguru,Moletom Canguru com Capuz,9.6,8.7,35.2,39.7,2026-07-23
São Miguel Celeste | Camiseta Premium,Camiseta Premium Unissex,9.5,8.6,35.2,39.7,2026-07-23
Querubim Spray | Camiseta Oversized Premium,Camiseta Oversized Premium,9,12.9,25.5,40,2026-07-23
Querubim Spray | Camiseta Premium,Camiseta Premium Unissex,8.8,12.6,25.5,40,2026-07-23
São Miguel Vitorioso | Moletom Canguru,Moletom Canguru com Capuz,8.7,14,28.5,39.4,2026-07-23
São Miguel Vitorioso | Camiseta Oversized Premium,Camiseta Oversized Premium,8.5,13.7,29.1,39.5,2026-07-23
São Miguel Vitorioso | Camiseta Premium,Camiseta Premium Unissex,8.9,14.4,29.5,40,2026-07-23
Aparecida Spray | Blusão Moletom,Blusão Moletom,9.4,13.4,23.8,40,2026-07-23
Aparecida Spray | Camiseta Oversized Premium,Camiseta Oversized Premium,9,14.4,23.8,40,2026-07-23
Aparecida Spray | Camiseta Premium,Camiseta Premium Unissex,8.7,14.1,23.8,40,2026-07-23
Aparecida Barroca | Blusão Moletom,Blusão Moletom,9.2,9.5,27.8,40,2026-07-23
Aparecida Barroca | Moletom Canguru,Moletom Canguru com Capuz,8.7,9,27.7,40,2026-07-23
Aparecida Barroca | Camiseta Oversized Premium,Camiseta Oversized Premium,9.2,9.4,27.9,40,2026-07-23
Aparecida Barroca | Camiseta Premium,Camiseta Premium Unissex,8.7,9,27.7,40,2026-07-23
Acima de Tudo Gótico | Camiseta Oversized Premium,Camiseta Oversized Premium,35,33.8,0,0,2026-07-23
Acima de Tudo Grafite | Camiseta Oversized Premium,Camiseta Oversized Premium,8.8,14.1,35.1,27.2,2026-07-23
Acima de Tudo Grafite | Camiseta Premium,Camiseta Premium Unissex,8.6,12.3,35.2,27.2,2026-07-23
Anjo da Guarda Stencil | Camiseta Oversized Premium,Camiseta Oversized Premium,9.2,14.7,25.5,40,2026-07-23
Anjo da Guarda Stencil | Camiseta Premium,Camiseta Premium Unissex,8.4,13.6,25.5,40,2026-07-23
São Jorge Neobarroco | Moletom Canguru,Moletom Canguru com Capuz,8.6,8.9,31,40,2026-07-23
São Jorge Neobarroco | Camiseta Oversized Premium,Camiseta Oversized Premium,9.1,9.3,30.8,40,2026-07-23
São Jorge Neobarroco | Camiseta Premium,Camiseta Premium Unissex,9,9.3,31,40,2026-07-23
