product_id,title,garment,photo,view,annotators,art_w_cm,art_h_cm,implied_garment_cm,implied_band_cm,garment_range_cm,delta_G_pct,delta_range_pct,band_decisive,alpha_excess_pct,pose_regime,offset_abs_band_cm,offset_visible_pct_torso,offset_chord_cm,offset_torso_cm,rotation_deg,collar_to_art_top_cm,inter_annotator_max_pct,confidence,scale_verdict,position_verdict,notes
352407156,São Miguel Vintage | Moletom Canguru,Moletom Canguru,352407156-branca.jpg,back,g1,31.5,40,71.55,61.79-81.36,60-70,-9.2,-16.1 a -2.2,nao,-0.1,frontal,0-17.29,-4.6,-6.22,-1.51,0.8,9.79,0.00,65,FORA-DO-ALVO,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | arte irregular com extremos de tinta declarados: vies projetivo de -0.34 a 0.32 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | deslocamento entre 0 e 17.29 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: -4.6% da largura do tronco) | comprimento implicito 71.5 cm cai fora da faixa 60-70 cm, MAS a incerteza declarada pelo anotador (faixa 61.79-81.36 cm) alcanca a faixa real — sem anotacao melhor nao da para reprovar por impossibilidade. O veredito abaixo e o do eixo de catalogo | limiar de OK elevado de 5% para 8% porque a margem do metodo no modo ""caixa envolvente"" e 8 pp — abaixo disso o veredito seria ruido | arte sem aresta desenhada | gola oculta pelo capuz"
352407156,São Miguel Vintage | Moletom Canguru,Moletom Canguru,352407156-preta-v4.jpg,back,g1,31.5,40,72.1,62.04-82.2,60-70,-9.8,-16.8 a -2.9,nao,0,frontal,0-16.62,-2,-5.6,-0.65,0.3,10.19,0.00,65,FORA-DO-ALVO,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | arte irregular com extremos de tinta declarados: vies projetivo de -0.39 a 0.35 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | deslocamento entre 0 e 16.62 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: -2% da largura do tronco) | comprimento implicito 72.1 cm cai fora da faixa 60-70 cm, MAS a incerteza declarada pelo anotador (faixa 62.04-82.2 cm) alcanca a faixa real — sem anotacao melhor nao da para reprovar por impossibilidade. O veredito abaixo e o do eixo de catalogo | limiar de OK elevado de 5% para 8% porque a margem do metodo no modo ""caixa envolvente"" e 8 pp — abaixo disso o veredito seria ruido | arte sem aresta desenhada | gola oculta pelo capuz"
352407182,São Miguel Vintage | Camiseta Oversized Premium,Camiseta Oversized Premium,352407182-off-white-v4f.jpg,back,g1,31.6,40,83.81,74.41-92.05,78-86,-2.2,-6.9 a 2.6,nao,0,frontal,0-11.92,-0.9,-4.16,-0.32,2.6,8.47,0.00,60,OK,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | arte irregular com extremos de tinta declarados: vies projetivo de -3.4 a 1.61 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | deslocamento entre 0 e 11.92 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: -0.9% da largura do tronco) | largura plana implicita 36.9-58.0 cm nao encosta na faixa real 62-70 cm | limiar de OK elevado de 5% para 8% porque a margem do metodo no modo ""caixa envolvente"" e 8 pp — abaixo disso o veredito seria ruido | arte sem aresta desenhada | ressalva: art_missing_nimbus_wordmark | eixos de largura e comprimento discordam"
352407182,São Miguel Vintage | Camiseta Oversized Premium,Camiseta Oversized Premium,352407182-preta-v4b.jpg,back,gA,31.6,40,87.3,78.11-96.53,78-86,-6.1,-10.7 a -1.5,nao,0,frontal,0-13.87,-2.8,-4.74,-1.12,1.2,9.73,0.00,5,OK,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | arte irregular com extremos de tinta declarados: vies projetivo de -0.2 a 0.2 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | deslocamento entre 0 e 13.87 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: -2.8% da largura do tronco) | comprimento implicito 87.3 cm cai fora da faixa 78-86 cm, MAS a incerteza declarada pelo anotador (faixa 78.11-96.53 cm) alcanca a faixa real — sem anotacao melhor nao da para reprovar por impossibilidade. O veredito abaixo e o do eixo de catalogo | limiar de OK elevado de 5% para 8% porque a margem do metodo no modo ""caixa envolvente"" e 8 pp — abaixo disso o veredito seria ruido | ressalva: black_garment_low_contrast | ressalva: torso_edge_inferred_from_underarm | ressalva: no_nimbus_signature_found | arte sem aresta desenhada | gola com leitura indireta | barra com baixo contraste ou fora de quadro"
352407196,São Miguel Vintage | Camiseta Premium,Camiseta Premium,352407196-branca-v4g.jpg,back,gA,31.5,40,83.58,76.52-90.66,70.5-85,-9.7,-15.7 a 1.7,nao,-17.1,guinada_forte,0-19.32,-24.9,-6.29,-9.15,4,7.59,0.00,25,FORA-DO-ALVO,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | arte irregular com extremos de tinta declarados: vies projetivo de -0.28 a 0.25 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | deslocamento entre 0 e 19.32 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: -24.9% da largura do tronco) | limiar de OK elevado de 5% para 8% porque a margem do metodo no modo ""caixa envolvente"" e 8 pp — abaixo disso o veredito seria ruido | ressalva: signature_included_in_bbox | laterais do tronco nao visiveis | ressalva: torso_edge_inferred | arte sem aresta desenhada | pose 3/4 forte, alpha -32.9%"
352618837,São Jorge Vintage | Blusão Moletom,Blusão Moletom,352618837-branca.jpg,back,gF,30.6,40,71.23,58.47-79.19,sem tabela,,,,-17.515082956259455,guinada_forte,,,,,,,0.00,15,INDISPONIVEL,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | arte irregular com extremos de tinta declarados: vies projetivo de -8.68 a 0.98 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | posicao sem regua: ""Blusão Moletom"" nao tem tabela de medidas, e a conversao de pixel para centimetro depende do comprimento da peca | ""Blusão Moletom"" nao tem tabela de medidas publicada (AGUARDA CONFIRMAÇÃO DA YOUDRAW) — escala sem regua | ressalva: topo_da_arte_dissolve_em_tom_claro | ressalva: possivel_anel_claro_acima_nao_confirmado | arte sem aresta desenhada | gola com leitura indireta | pose 3/4 forte, alpha -17.5%"
352618878,São Jorge Vintage | Moletom Canguru,Moletom Canguru,352618878-branca.jpg,back,g3,30.6,40,76.47,59.96-86.41,60-70,-15,-21.5 a -8.5,sim,0,frontal,0-14.56,4.3,4.31,1.49,-3.1,8.29,0.00,55,FORA-DO-ALVO,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | arte irregular com extremos de tinta declarados: vies projetivo de -10.32 a 0.37 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | deslocamento entre 0 e 14.56 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: 4.3% da largura do tronco) | comprimento implicito 76.5 cm cai fora da faixa 60-70 cm, MAS a incerteza declarada pelo anotador (faixa 59.96-86.41 cm) alcanca a faixa real — sem anotacao melhor nao da para reprovar por impossibilidade. O veredito abaixo e o do eixo de catalogo | limiar de OK elevado de 5% para 8% porque a margem do metodo no modo ""caixa envolvente"" e 8 pp — abaixo disso o veredito seria ruido | gola oculta pelo capuz | arte sem aresta desenhada | laterais do tronco nao visiveis"
352618903,São Jorge Vintage | Camiseta Oversized Premium,Camiseta Oversized Premium,352618903-off-white.jpg,back,C,30.6,40,85.71,79.91-91.5,78-86,-4.3,-9 a 0.3,nao,4.8,vertical_comprimido,0-7.98,2.7,1.27,1.08,-0.9,8.42,0.00,45,INCONCLUSIVO,INCONCLUSIVO,"excesso de anisotropia +4.8% : altura da arte comprimida (inclinacao de camera ou anotacao errada) — o eixo vertical nao e confiavel aqui | deslocamento entre 0 e 7.98 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: 2.7% da largura do tronco) | laterais do tronco nao visiveis | alpha positivo alto"
352618935,São Jorge Vintage | Camiseta Premium,Camiseta Premium,352618935-branca.jpg,back,g3,30.6,40,73.48,66.63-78.36,70.5-85,2.7,-4.1 a 15.7,nao,-2.1,guinada_moderada,0-6.59,3.9,0.73,1.27,-4.6,7.31,0.00,65,OK,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | arte irregular com extremos de tinta declarados: vies projetivo de -4.51 a 1.52 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | deslocamento entre 0 e 6.59 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: 3.9% da largura do tronco) | limiar de OK elevado de 5% para 8% porque a margem do metodo no modo ""caixa envolvente"" e 8 pp — abaixo disso o veredito seria ruido | arte sem aresta desenhada | laterais do tronco nao visiveis | pose com alpha -17.1%"
352618935,São Jorge Vintage | Camiseta Premium,Camiseta Premium,352618935-preta-v4.jpg,back,g3,30.6,40,72.74,66.97-78.53,70.5-85,3.8,-3.1 a 16.9,nao,-3.1,guinada_moderada,0-8.83,5.4,0.49,1.77,-4.4,7.09,0.00,30,OK,INCONCLUSIVO,"arte sem moldura desenhada: altura medida pela caixa envolvente, nao pelos pontos medios — a margem do metodo aqui e 8 pp (a de 4 pp exige aresta real) | arte irregular com extremos de tinta declarados: vies projetivo de -0.25 a 0.26 pp incorporado a faixa (extremos afastados do centro encolhem a altura medida) | deslocamento entre 0 e 8.83 cm: a faixa cruza o limite de 3 cm, entao nao da para aprovar nem reprovar (diagnostico visual: 5.4% da largura do tronco) | largura plana implicita 31.5-49.5 cm nao encosta na faixa real 49.5-63 cm | limiar de OK elevado de 5% para 8% porque a margem do metodo no modo ""caixa envolvente"" e 8 pp — abaixo disso o veredito seria ruido | arte sem aresta desenhada | barra com baixo contraste ou fora de quadro | laterais do tronco nao visiveis | pose com alpha -18.1% | eixos de largura e comprimento discordam"
